VehicleType,ChargingStation,TimeToChargePerUnit
V1,C1,300
V1,C2,480
V1,C3,420
V1,C4,480
V1,C5,360
V1,C6,420
V1,C7,480
V1,C8,420
V1,C9,540
V1,C10,300
V1,C11,480
V1,C12,360
V1,C13,540
V1,C14,540
V1,C15,420
V1,C16,480
V1,C17,360
V1,C18,300
V1,C19,420
V1,C20,300
V2,C1,480
V2,C2,540
V2,C3,540
V2,C4,300
V2,C5,360
V2,C6,480
V2,C7,540
V2,C8,300
V2,C9,420
V2,C10,540
V2,C11,300
V2,C12,300
V2,C13,480
V2,C14,480
V2,C15,360
V2,C16,480
V2,C17,360
V2,C18,480
V2,C19,480
V2,C20,540
V3,C1,540
V3,C2,480
V3,C3,540
V3,C4,420
V3,C5,360
V3,C6,420
V3,C7,420
V3,C8,540
V3,C9,300
V3,C10,360
V3,C11,300
V3,C12,300
V3,C13,480
V3,C14,480
V3,C15,540
V3,C16,300
V3,C17,420
V3,C18,480
V3,C19,360
V3,C20,480
V4,C1,300
V4,C2,480
V4,C3,360
V4,C4,420
V4,C5,420
V4,C6,420
V4,C7,300
V4,C8,540
V4,C9,360
V4,C10,360
V4,C11,540
V4,C12,360
V4,C13,540
V4,C14,480
V4,C15,300
V4,C16,300
V4,C17,540
V4,C18,420
V4,C19,480
V4,C20,420
V5,C1,480
V5,C2,300
V5,C3,480
V5,C4,540
V5,C5,480
V5,C6,540
V5,C7,480
V5,C8,480
V5,C9,300
V5,C10,480
V5,C11,420
V5,C12,480
V5,C13,360
V5,C14,360
V5,C15,420
V5,C16,540
V5,C17,420
V5,C18,420
V5,C19,360
V5,C20,480
