Id,VehicleType,RemainingBatteryPercentage,EntryPoint,ExitPoint
1,V6,92,A44,A49
2,V14,54,A52,A72
3,V22,68,A64,A92
4,V23,59,A19,A44
5,V26,57,A21,A30
6,V27,44,A33,A40
7,V23,38,A79,A97
8,V24,74,A87,A90
9,V11,86,A75,A82
10,V17,46,A64,A67
11,V30,29,A97,A99
12,V21,91,A83,A87
13,V25,69,A77,A99
14,V5,43,A15,A79
15,V16,69,A19,A25
16,V25,84,A83,A88
17,V16,55,A6,A57
18,V12,78,A5,A50
19,V28,55,A2,A67
20,V13,26,A15,A47
21,V29,67,A66,A79
22,V14,23,A29,A88
23,V21,54,A38,A66
24,V18,43,A48,A80
25,V2,45,A37,A76
26,V22,85,A93,A95
27,V26,81,A83,A88
28,V10,91,A78,A94
29,V13,24,A10,A47
30,V27,94,A68,A92
31,V28,78,A68,A88
32,V13,35,A49,A51
33,V10,58,A3,A60
34,V27,54,A9,A23
35,V16,68,A89,A96
36,V10,25,A96,A99
37,V5,36,A92,A95
38,V2,78,A28,A31
39,V8,74,A44,A80
40,V20,43,A51,A74
41,V29,35,A75,A85
42,V4,89,A74,A83
43,V10,69,A94,A97
44,V14,63,A57,A79
45,V22,41,A53,A71
46,V14,27,A82,A96
47,V17,36,A63,A70
48,V12,92,A1,A99
49,V2,36,A40,A95
50,V23,48,A46,A75
51,V6,91,A35,A93
52,V3,36,A29,A68
53,V15,48,A38,A62
54,V28,72,A19,A77
55,V7,65,A13,A45
56,V18,94,A84,A88
57,V5,53,A96,A100
58,V17,91,A49,A60
59,V28,86,A98,A99
60,V26,45,A87,A90
61,V28,68,A5,A85
62,V28,35,A54,A61
63,V10,52,A53,A78
64,V5,98,A58,A63
65,V28,36,A7,A47
66,V15,71,A81,A86
67,V20,51,A92,A94
68,V23,60,A41,A73
69,V14,42,A81,A93
70,V16,82,A71,A99
71,V26,64,A29,A88
72,V15,78,A53,A90
73,V21,57,A18,A80
74,V14,51,A96,A97
75,V10,67,A32,A35
76,V28,73,A39,A47
77,V14,22,A22,A74
78,V28,32,A43,A49
79,V17,57,A1,A8
80,V11,77,A72,A81
81,V26,83,A48,A59
82,V29,66,A84,A92
83,V1,57,A90,A94
84,V26,87,A71,A84
85,V11,44,A4,A91
86,V25,76,A97,A98
87,V10,84,A25,A74
88,V25,81,A94,A95
89,V3,96,A3,A14
90,V6,85,A68,A72
91,V30,75,A44,A49
92,V7,86,A78,A84
93,V2,98,A47,A84
94,V2,58,A73,A88
95,V22,29,A71,A87
96,V30,78,A55,A70
97,V23,58,A49,A70
98,V3,80,A9,A89
99,V2,69,A22,A90
100,V10,76,A10,A99
101,V26,89,A82,A88
102,V3,46,A78,A91
103,V6,52,A62,A93
104,V28,68,A15,A18
105,V13,83,A49,A78
106,V8,26,A79,A99
107,V1,25,A15,A50
108,V23,92,A1,A99
109,V11,78,A74,A77
110,V8,22,A9,A57
111,V11,45,A36,A42
112,V28,45,A44,A92
113,V13,23,A14,A94
114,V15,80,A66,A84
115,V27,41,A45,A55
116,V17,70,A64,A100
117,V23,48,A15,A99
118,V5,92,A43,A57
119,V24,88,A67,A77
120,V23,72,A1,A71
121,V26,92,A93,A100
122,V28,57,A5,A50
123,V7,80,A68,A69
124,V6,23,A26,A93
125,V12,67,A1,A25
126,V26,90,A47,A65
127,V21,35,A28,A96
128,V25,51,A70,A97
