ChargingStation,DistanceFromStart
C1,10
C2,26
C3,40
C4,49
C5,62
C6,77
C7,99
C8,110
C9,126
C10,149
C11,152
C12,168
C13,182
C14,206
C15,211
C16,231
C17,244
C18,257
C19,271
C20,299
C21,307
C22,326
C23,341
C24,351
C25,364
C26,386
C27,401
C28,414
C29,428
C30,441
C31,457
C32,470
C33,490
C34,500
C35,512
C36,532
C37,549
C38,557
C39,580
C40,588
C41,606
C42,619
C43,634
C44,659
C45,663
C46,682
C47,692
C48,709
C49,733
C50,738
C51,751
C52,766
C53,781
C54,808
C55,817
C56,833
C57,846
C58,862
C59,879
C60,889
C61,904
C62,928
C63,931
C64,950
C65,970
C66,977
C67,997
C68,1011
C69,1022
C70,1049
C71,1054
C72,1079
C73,1084
C74,1104
C75,1123
C76,1131
C77,1145
C78,1156
C79,1174
C80,1196
C81,1200
C82,1217
C83,1243
C84,1257
C85,1265
C86,1284
C87,1299
C88,1313
C89,1334
C90,1346
C91,1358
C92,1375
C93,1387
C94,1406
C95,1421
C96,1430
C97,1450
C98,1460
C99,1482
C100,1497
C101,1513
C102,1515
C103,1542
C104,1552
C105,1571
C106,1579
C107,1594
C108,1615
C109,1623
C110,1638
C111,1656
C112,1667
C113,1694
C114,1708
C115,1715
C116,1727
C117,1741
C118,1767
C119,1783
C120,1785
C121,1802
C122,1824
C123,1838
C124,1857
C125,1869
C126,1878
C127,1891
C128,1915
C129,1928
C130,1941
C131,1959
C132,1971
C133,1989
C134,2002
C135,2017
C136,2026
C137,2042
C138,2056
C139,2083
C140,2095
C141,2105
C142,2129
C143,2144
C144,2150
C145,2166
C146,2187
C147,2195
C148,2213
C149,2233
C150,2237
C151,2262
C152,2273
C153,2293
C154,2295
C155,2315
C156,2335
C157,2340
C158,2356
C159,2381
C160,2385
C161,2402
C162,2425
C163,2432
C164,2455
C165,2461
C166,2480
C167,2503
C168,2513
C169,2534
C170,2542
C171,2551
C172,2572
C173,2591
C174,2602
C175,2619
C176,2625
C177,2640
C178,2655
C179,2680
C180,2697
C181,2710
C182,2715
C183,2737
C184,2753
C185,2764
C186,2786
C187,2792
C188,2812
C189,2834
C190,2836
C191,2862
C192,2868
C193,2888
C194,2906
C195,2912
C196,2931
C197,2941
C198,2963
C199,2971
C200,2999
