EntryExitPoint,DistanceFromStart
A1,0
A2,49
A3,83
A4,110
A5,146
A6,160
A7,188
A8,214
A9,258
A10,281
A11,311
A12,353
A13,375
A14,408
A15,427
A16,475
A17,502
A18,510
A19,569
A20,585
A21,627
A22,641
A23,668
A24,695
A25,744
A26,751
A27,809
A28,812
A29,843
A30,887
A31,908
A32,933
A33,974
A34,1018
A35,1040
A36,1068
A37,1100
A38,1124
A39,1153
A40,1174
A41,1204
A42,1256
A43,1277
A44,1309
A45,1348
A46,1369
A47,1396
A48,1412
A49,1466
A50,1495
A51,1509
A52,1537
A53,1588
A54,1609
A55,1627
A56,1676
A57,1699
A58,1739
A59,1766
A60,1799
A61,1819
A62,1831
A63,1863
A64,1900
A65,1946
A66,1976
A67,2005
A68,2031
A69,2061
A70,2077
A71,2126
A72,2139
A73,2189
A74,2207
A75,2244
A76,2254
A77,2282
A78,2339
A79,2356
A80,2380
A81,2412
A82,2455
A83,2464
A84,2503
A85,2544
A86,2561
A87,2586
A88,2618
A89,2643
A90,2698
A91,2713
A92,2756
A93,2780
A94,2797
A95,2838
A96,2870
A97,2889
A98,2920
A99,2942
A100,3000
