VehicleType,ChargingStation,TimeToChargePerUnit
V1,C1,540
V1,C2,480
V1,C3,480
V1,C4,480
V1,C5,300
V1,C6,300
V1,C7,540
V1,C8,420
V1,C9,420
V1,C10,360
V1,C11,420
V1,C12,420
V1,C13,540
V1,C14,360
V1,C15,360
V1,C16,540
V1,C17,360
V1,C18,420
V1,C19,300
V1,C20,300
V1,C21,540
V1,C22,300
V1,C23,300
V1,C24,540
V1,C25,360
V1,C26,420
V1,C27,480
V1,C28,540
V1,C29,360
V1,C30,540
V1,C31,480
V1,C32,420
V1,C33,300
V1,C34,360
V1,C35,360
V1,C36,540
V1,C37,540
V1,C38,300
V1,C39,300
V1,C40,360
V1,C41,360
V1,C42,300
V1,C43,420
V1,C44,540
V1,C45,480
V1,C46,300
V1,C47,480
V1,C48,420
V1,C49,420
V1,C50,360
V1,C51,420
V1,C52,480
V1,C53,420
V1,C54,420
V1,C55,300
V1,C56,480
V1,C57,360
V1,C58,480
V1,C59,480
V1,C60,360
V1,C61,300
V1,C62,420
V1,C63,300
V1,C64,300
V1,C65,420
V1,C66,300
V1,C67,360
V1,C68,420
V1,C69,480
V1,C70,420
V1,C71,300
V1,C72,300
V1,C73,540
V1,C74,420
V1,C75,540
V1,C76,300
V1,C77,540
V1,C78,360
V1,C79,300
V1,C80,300
V1,C81,360
V1,C82,420
V1,C83,360
V1,C84,300
V1,C85,360
V1,C86,360
V1,C87,300
V1,C88,300
V1,C89,480
V1,C90,540
V1,C91,540
V1,C92,300
V1,C93,300
V1,C94,540
V1,C95,360
V1,C96,300
V1,C97,300
V1,C98,360
V1,C99,480
V1,C100,360
V2,C1,480
V2,C2,540
V2,C3,540
V2,C4,420
V2,C5,360
V2,C6,360
V2,C7,480
V2,C8,300
V2,C9,480
V2,C10,480
V2,C11,300
V2,C12,420
V2,C13,300
V2,C14,360
V2,C15,300
V2,C16,420
V2,C17,360
V2,C18,360
V2,C19,360
V2,C20,540
V2,C21,480
V2,C22,360
V2,C23,480
V2,C24,300
V2,C25,420
V2,C26,540
V2,C27,480
V2,C28,540
V2,C29,480
V2,C30,420
V2,C31,540
V2,C32,300
V2,C33,300
V2,C34,480
V2,C35,540
V2,C36,540
V2,C37,420
V2,C38,540
V2,C39,420
V2,C40,420
V2,C41,300
V2,C42,540
V2,C43,480
V2,C44,360
V2,C45,300
V2,C46,300
V2,C47,480
V2,C48,540
V2,C49,360
V2,C50,480
V2,C51,420
V2,C52,540
V2,C53,540
V2,C54,360
V2,C55,540
V2,C56,300
V2,C57,360
V2,C58,360
V2,C59,480
V2,C60,300
V2,C61,360
V2,C62,360
V2,C63,300
V2,C64,360
V2,C65,360
V2,C66,540
V2,C67,360
V2,C68,300
V2,C69,540
V2,C70,420
V2,C71,540
V2,C72,540
V2,C73,420
V2,C74,300
V2,C75,360
V2,C76,540
V2,C77,300
V2,C78,360
V2,C79,420
V2,C80,300
V2,C81,300
V2,C82,480
V2,C83,540
V2,C84,480
V2,C85,360
V2,C86,300
V2,C87,300
V2,C88,540
V2,C89,540
V2,C90,300
V2,C91,420
V2,C92,540
V2,C93,300
V2,C94,540
V2,C95,480
V2,C96,540
V2,C97,420
V2,C98,420
V2,C99,360
V2,C100,360
V3,C1,480
V3,C2,480
V3,C3,360
V3,C4,420
V3,C5,300
V3,C6,360
V3,C7,420
V3,C8,420
V3,C9,420
V3,C10,360
V3,C11,480
V3,C12,300
V3,C13,540
V3,C14,540
V3,C15,420
V3,C16,540
V3,C17,360
V3,C18,480
V3,C19,360
V3,C20,360
V3,C21,540
V3,C22,420
V3,C23,480
V3,C24,360
V3,C25,360
V3,C26,540
V3,C27,300
V3,C28,300
V3,C29,540
V3,C30,360
V3,C31,420
V3,C32,420
V3,C33,360
V3,C34,300
V3,C35,420
V3,C36,300
V3,C37,480
V3,C38,360
V3,C39,480
V3,C40,480
V3,C41,540
V3,C42,300
V3,C43,360
V3,C44,540
V3,C45,360
V3,C46,480
V3,C47,540
V3,C48,540
V3,C49,420
V3,C50,480
V3,C51,540
V3,C52,480
V3,C53,360
V3,C54,420
V3,C55,540
V3,C56,420
V3,C57,480
V3,C58,360
V3,C59,480
V3,C60,300
V3,C61,360
V3,C62,540
V3,C63,540
V3,C64,540
V3,C65,480
V3,C66,420
V3,C67,360
V3,C68,360
V3,C69,480
V3,C70,420
V3,C71,540
V3,C72,540
V3,C73,360
V3,C74,420
V3,C75,480
V3,C76,300
V3,C77,420
V3,C78,360
V3,C79,420
V3,C80,540
V3,C81,480
V3,C82,420
V3,C83,300
V3,C84,540
V3,C85,420
V3,C86,300
V3,C87,480
V3,C88,540
V3,C89,360
V3,C90,480
V3,C91,360
V3,C92,420
V3,C93,540
V3,C94,420
V3,C95,360
V3,C96,480
V3,C97,480
V3,C98,540
V3,C99,420
V3,C100,360
V4,C1,300
V4,C2,300
V4,C3,540
V4,C4,420
V4,C5,360
V4,C6,300
V4,C7,360
V4,C8,480
V4,C9,360
V4,C10,540
V4,C11,420
V4,C12,420
V4,C13,300
V4,C14,480
V4,C15,480
V4,C16,480
V4,C17,360
V4,C18,420
V4,C19,300
V4,C20,360
V4,C21,540
V4,C22,360
V4,C23,300
V4,C24,420
V4,C25,300
V4,C26,480
V4,C27,480
V4,C28,420
V4,C29,300
V4,C30,480
V4,C31,360
V4,C32,540
V4,C33,420
V4,C34,480
V4,C35,540
V4,C36,360
V4,C37,420
V4,C38,540
V4,C39,480
V4,C40,300
V4,C41,300
V4,C42,540
V4,C43,420
V4,C44,540
V4,C45,420
V4,C46,360
V4,C47,540
V4,C48,360
V4,C49,360
V4,C50,480
V4,C51,300
V4,C52,420
V4,C53,420
V4,C54,480
V4,C55,480
V4,C56,360
V4,C57,540
V4,C58,360
V4,C59,300
V4,C60,420
V4,C61,360
V4,C62,480
V4,C63,480
V4,C64,300
V4,C65,420
V4,C66,480
V4,C67,420
V4,C68,420
V4,C69,480
V4,C70,300
V4,C71,540
V4,C72,480
V4,C73,420
V4,C74,300
V4,C75,480
V4,C76,540
V4,C77,540
V4,C78,300
V4,C79,420
V4,C80,480
V4,C81,300
V4,C82,420
V4,C83,420
V4,C84,480
V4,C85,360
V4,C86,300
V4,C87,420
V4,C88,540
V4,C89,540
V4,C90,540
V4,C91,480
V4,C92,420
V4,C93,360
V4,C94,540
V4,C95,300
V4,C96,300
V4,C97,420
V4,C98,360
V4,C99,480
V4,C100,480
V5,C1,540
V5,C2,480
V5,C3,360
V5,C4,420
V5,C5,540
V5,C6,360
V5,C7,540
V5,C8,540
V5,C9,540
V5,C10,360
V5,C11,360
V5,C12,540
V5,C13,300
V5,C14,420
V5,C15,480
V5,C16,300
V5,C17,420
V5,C18,300
V5,C19,420
V5,C20,540
V5,C21,480
V5,C22,540
V5,C23,480
V5,C24,360
V5,C25,480
V5,C26,540
V5,C27,480
V5,C28,300
V5,C29,300
V5,C30,300
V5,C31,420
V5,C32,540
V5,C33,540
V5,C34,300
V5,C35,300
V5,C36,540
V5,C37,360
V5,C38,420
V5,C39,300
V5,C40,360
V5,C41,420
V5,C42,420
V5,C43,420
V5,C44,300
V5,C45,300
V5,C46,300
