Id,VehicleType,RemainingBatteryPercentage,EntryPoint,ExitPoint
1,V3,81,A22,A47
2,V10,77,A9,A49
3,V8,74,A35,A36
4,V5,49,A6,A11
5,V4,85,A28,A45
6,V6,79,A37,A42
7,V5,76,A35,A43
8,V1,87,A42,A45
9,V4,37,A41,A43
10,V9,31,A15,A39
11,V10,73,A30,A47
12,V6,26,A30,A41
13,V6,21,A5,A15
14,V10,92,A19,A42
15,V5,61,A41,A48
16,V6,89,A17,A25
17,V3,79,A26,A32
18,V9,33,A18,A19
19,V1,89,A23,A24
20,V3,86,A28,A29
21,V4,47,A18,A19
22,V10,28,A15,A22
23,V8,26,A13,A41
24,V10,68,A46,A48
25,V8,71,A15,A35
26,V8,70,A23,A25
27,V8,95,A1,A44
28,V6,57,A31,A32
29,V5,75,A33,A34
30,V10,42,A28,A31
31,V8,81,A48,A49
32,V4,89,A33,A43
33,V6,67,A22,A24
34,V3,92,A44,A49
35,V4,75,A40,A42
36,V9,32,A30,A47
37,V1,35,A38,A46
38,V3,56,A20,A50
39,V1,56,A26,A34
40,V7,65,A5,A23
41,V8,49,A47,A50
42,V1,26,A44,A49
43,V3,62,A8,A37
44,V10,26,A39,A43
45,V9,20,A33,A46
46,V3,63,A1,A27
47,V6,88,A39,A43
48,V1,91,A26,A37
49,V8,73,A24,A31
50,V2,88,A29,A42
51,V2,27,A18,A19
52,V7,32,A20,A30
53,V9,83,A5,A12
54,V1,92,A30,A43
55,V7,79,A22,A50
56,V4,86,A38,A40
57,V9,21,A47,A48
58,V5,22,A20,A46
59,V4,76,A42,A49
60,V2,71,A42,A45
61,V9,52,A14,A28
62,V10,24,A29,A42
63,V10,45,A39,A45
64,V3,46,A24,A29
65,V5,32,A40,A48
66,V3,20,A17,A50
67,V3,60,A38,A41
68,V7,62,A38,A50
69,V1,50,A25,A45
70,V8,72,A20,A22
71,V1,89,A31,A33
72,V1,52,A49,A50
73,V10,89,A23,A47
74,V3,74,A22,A28
75,V7,80,A23,A32
76,V4,71,A37,A42
77,V4,93,A23,A48
78,V4,66,A45,A49
79,V1,39,A37,A40
80,V3,28,A34,A41
81,V7,56,A15,A16
82,V7,81,A8,A27
83,V8,86,A33,A47
84,V1,48,A1,A12
85,V3,60,A49,A50
86,V3,48,A21,A32
87,V8,83,A28,A31
88,V4,66,A30,A50
89,V9,47,A42,A49
90,V10,32,A38,A47
91,V10,22,A42,A47
92,V10,95,A2,A39
93,V9,81,A28,A50
94,V1,24,A21,A42
95,V7,49,A10,A42
96,V2,23,A26,A31
97,V1,46,A23,A35
98,V3,36,A5,A47
99,V2,60,A11,A27
100,V4,97,A25,A33
101,V9,91,A11,A14
102,V7,78,A26,A38
103,V10,27,A16,A44
104,V1,71,A38,A46
105,V5,77,A28,A48
106,V4,88,A9,A48
107,V5,23,A1,A28
108,V1,74,A23,A25
109,V4,25,A44,A47
110,V6,42,A33,A45
111,V5,75,A30,A47
112,V1,91,A44,A48
113,V8,66,A48,A50
114,V6,61,A14,A16
115,V2,25,A3,A26
116,V7,65,A1,A19
117,V9,44,A34,A36
118,V2,45,A12,A41
119,V9,97,A47,A48
120,V9,62,A33,A41
121,V5,31,A20,A38
122,V8,83,A35,A42
123,V8,70,A20,A38
124,V2,27,A5,A19
125,V2,71,A42,A43
126,V9,35,A32,A40
127,V4,39,A4,A46
128,V1,25,A45,A49
129,V5,29,A9,A36
130,V7,31,A10,A23
131,V4,21,A7,A29
132,V4,45,A12,A26
133,V9,61,A44,A49
134,V9,52,A18,A48
135,V10,70,A48,A49
136,V3,63,A12,A32
137,V4,45,A5,A41
138,V5,65,A35,A40
139,V4,73,A16,A48
140,V2,23,A9,A35
141,V7,46,A41,A42
142,V5,21,A22,A41
143,V6,68,A42,A43
144,V4,72,A1,A13
145,V8,93,A20,A31
146,V9,58,A35,A45
147,V1,26,A44,A46
148,V8,22,A46,A47
149,V8,41,A44,A46
150,V4,72,A27,A46
151,V8,96,A44,A49
152,V9,54,A13,A39
153,V10,38,A7,A35
154,V8,23,A15,A25
155,V2,70,A21,A46
156,V5,38,A23,A34
157,V6,69,A7,A35
158,V3,73,A13,A28
159,V1,92,A13,A35
160,V7,91,A12,A48
161,V9,64,A14,A42
162,V2,46,A26,A47
163,V8,71,A11,A17
164,V4,85,A11,A49
165,V8,60,A45,A48
166,V2,80,A8,A24
167,V5,55,A45,A46
168,V4,90,A38,A47
169,V1,42,A19,A21
170,V1,87,A42,A43
