Id,VehicleType,RemainingBatteryPercentage,EntryPoint,ExitPoint
1,V10,69,A46,A56
2,V3,29,A70,A72
3,V3,59,A50,A67
4,V8,88,A60,A73
5,V6,80,A17,A47
6,V4,81,A16,A29
7,V19,95,A42,A73
8,V9,98,A39,A62
9,V1,81,A14,A29
10,V15,25,A48,A71
11,V6,75,A24,A49
12,V11,63,A60,A75
13,V2,57,A57,A69
14,V12,35,A39,A41
15,V11,24,A16,A34
16,V4,90,A50,A65
17,V11,96,A27,A69
18,V5,70,A65,A70
19,V17,29,A72,A75
20,V15,84,A38,A61
21,V11,21,A7,A59
22,V18,42,A65,A73
23,V17,25,A54,A56
24,V6,78,A18,A58
25,V13,52,A70,A75
26,V1,94,A17,A32
27,V5,76,A20,A72
28,V16,64,A60,A72
29,V20,64,A47,A52
30,V18,57,A22,A58
31,V3,49,A74,A75
32,V10,61,A59,A62
33,V1,50,A9,A39
34,V4,35,A64,A69
35,V15,57,A52,A59
36,V4,44,A9,A16
37,V18,52,A54,A60
38,V18,77,A34,A71
39,V5,62,A6,A62
40,V18,61,A63,A64
41,V13,97,A56,A75
42,V13,70,A52,A64
43,V6,85,A62,A70
44,V5,49,A38,A75
45,V11,82,A7,A14
46,V18,48,A64,A65
47,V12,33,A59,A67
48,V12,33,A48,A66
49,V16,30,A4,A62
50,V14,61,A66,A68
51,V14,89,A61,A64
52,V10,99,A28,A71
53,V18,24,A43,A71
54,V19,87,A25,A65
55,V14,37,A6,A42
56,V12,95,A1,A41
57,V11,50,A51,A70
58,V20,98,A38,A43
59,V11,77,A14,A35
60,V5,60,A7,A33
61,V14,81,A73,A75
62,V13,71,A3,A73
63,V9,64,A37,A64
64,V17,96,A72,A73
65,V18,46,A31,A41
66,V2,21,A74,A75
67,V18,28,A59,A61
68,V18,50,A72,A74
69,V11,24,A15,A32
70,V10,93,A7,A52
71,V15,56,A62,A64
72,V20,81,A47,A73
73,V19,59,A13,A50
74,V19,69,A40,A58
75,V15,93,A17,A73
76,V13,53,A40,A58
77,V5,41,A15,A75
78,V19,20,A73,A75
79,V14,70,A55,A75
80,V11,83,A21,A38
81,V13,39,A70,A71
82,V13,70,A28,A52
83,V6,28,A12,A63
84,V12,76,A2,A73
85,V12,80,A51,A52
86,V1,98,A36,A40
87,V7,50,A70,A74
88,V19,67,A33,A35
89,V5,70,A7,A71
90,V3,77,A20,A38
91,V1,46,A50,A70
92,V5,37,A48,A63
93,V9,78,A46,A63
94,V18,73,A30,A51
95,V19,91,A62,A70
96,V1,76,A42,A58
97,V7,84,A25,A63
98,V11,89,A67,A73
99,V7,67,A68,A70
100,V10,52,A31,A46
101,V7,66,A67,A75
102,V12,90,A34,A49
103,V6,41,A45,A64
104,V2,46,A65,A67
105,V20,71,A16,A72
106,V15,87,A27,A55
107,V15,41,A63,A68
108,V15,87,A16,A21
109,V1,24,A46,A68
110,V1,25,A45,A55
111,V14,59,A8,A70
112,V6,24,A16,A36
113,V7,72,A63,A72
114,V5,50,A14,A30
115,V7,34,A54,A75
116,V9,47,A53,A55
117,V3,35,A23,A66
118,V4,35,A34,A45
119,V12,42,A51,A70
120,V16,24,A74,A75
121,V7,34,A4,A26
122,V1,23,A26,A30
123,V16,32,A1,A59
124,V6,44,A30,A48
125,V8,94,A71,A72
126,V10,84,A42,A63
127,V6,57,A6,A24
128,V20,57,A65,A70
129,V2,26,A60,A63
130,V9,48,A60,A63
131,V19,85,A2,A38
132,V9,86,A35,A54
133,V19,99,A16,A67
134,V15,22,A21,A25
135,V7,29,A4,A51
136,V6,62,A69,A71
137,V3,54,A20,A52
138,V6,88,A13,A32
139,V13,49,A49,A72
140,V4,55,A3,A62
141,V8,44,A22,A50
142,V18,73,A7,A25
143,V9,85,A43,A50
144,V9,35,A68,A72
145,V13,46,A10,A50
146,V4,86,A39,A41
147,V3,44,A29,A70
148,V1,67,A14,A19
149,V20,86,A35,A40
150,V20,38,A72,A73
151,V17,80,A7,A63
152,V13,87,A21,A73
153,V4,86,A23,A29
154,V20,83,A46,A61
155,V8,89,A56,A64
156,V15,81,A32,A46
157,V18,85,A26,A70
158,V2,44,A6,A44
159,V19,30,A31,A52
160,V20,93,A42,A58
161,V18,69,A48,A62
162,V4,45,A41,A58
163,V1,45,A21,A56
164,V8,33,A62,A66
165,V16,98,A46,A52
166,V16,47,A38,A71
167,V8,82,A71,A72
168,V14,77,A2,A60
169,V8,98,A53,A60
170,V4,94,A29,A46
171,V15,98,A27,A63
172,V11,69,A28,A42
173,V15,43,A17,A65
174,V2,78,A50,A69
175,V10,29,A42,A61
176,V15,28,A24,A72
177,V15,37,A3,A5
178,V12,33,A33,A68
179,V2,64,A48,A70
180,V11,65,A22,A70
181,V16,41,A41,A59
182,V5,94,A61,A72
183,V15,96,A63,A68
184,V13,55,A44,A71
185,V3,76,A22,A71
186,V4,86,A29,A42
187,V6,42,A22,A60
188,V6,69,A49,A64
189,V6,43,A41,A50
190,V9,30,A8,A46
191,V9,38,A74,A75
192,V16,81,A36,A49
193,V17,77,A49,A63
194,V18,77,A10,A65
195,V13,26,A64,A67
196,V7,32,A28,A52
197,V3,65,A54,A64
198,V3,90,A36,A58
199,V16,82,A70,A73
200,V3,35,A12,A21
201,V13,45,A14,A57
202,V13,30,A25,A73
203,V3,99,A46,A57
204,V3,23,A10,A47
205,V13,79,A17,A29
206,V1,23,A23,A43
207,V8,29,A44,A65
208,V20,73,A50,A68
209,V17,41,A33,A49
210,V2,49,A18,A59
211,V19,97,A17,A21
212,V1,61,A58,A70
213,V6,86,A37,A74
214,V2,29,A27,A36
215,V8,79,A18,A49
216,V6,45,A70,A71
217,V9,90,A38,A40
218,V11,35,A47,A56
219,V20,76,A74,A75
220,V16,83,A17,A38
221,V15,77,A60,A75
222,V16,82,A32,A53
223,V2,86,A58,A66
224,V3,20,A13,A64
225,V1,85,A40,A75
226,V3,23,A36,A42
227,V9,99,A20,A37
228,V11,98,A17,A45
229,V18,30,A12,A32
230,V20,68,A33,A41
231,V15,39,A52,A54
232,V3,86,A46,A64
233,V11,85,A8,A17
234,V5,97,A44,A67
235,V8,54,A34,A46
236,V18,26,A57,A72
237,V18,99,A25,A38
238,V12,72,A40,A54
239,V13,65,A11,A32
240,V13,30,A60,A73
241,V4,86,A9,A45
242,V20,26,A56,A66
243,V8,86,A52,A64
244,V10,28,A71,A73
245,V3,85,A11,A56
246,V10,45,A53,A71
247,V4,63,A1,A20
248,V3,51,A31,A41
249,V11,89,A41,A63
250,V8,21,A15,A56
251,V10,58,A24,A69
252,V9,42,A15,A38
253,V12,29,A11,A44
254,V17,73,A44,A61
255,V20,41,A72,A74
256,V4,83,A42,A75
257,V3,37,A18,A62
258,V13,32,A64,A73
259,V11,52,A23,A64
260,V13,86,A66,A74
261,V1,48,A57,A66
262,V10,92,A73,A74
263,V13,21,A27,A70
264,V3,66,A31,A34
265,V13,29,A11,A69
266,V2,26,A55,A60
267,V7,59,A18,A61
268,V15,46,A31,A43
269,V8,58,A65,A70
270,V16,24,A42,A66
271,V2,35,A26,A60
272,V4,79,A55,A64
273,V10,31,A57,A64
274,V2,95,A69,A75
275,V4,25,A57,A66
276,V10,24,A39,A44
277,V2,66,A69,A74
278,V19,41,A14,A72
279,V2,20,A28,A56
280,V18,35,A42,A55
281,V3,87,A7,A59
282,V12,49,A23,A42
283,V3,33,A34,A40
284,V20,73,A29,A59
285,V17,69,A21,A75
286,V6,51,A14,A51
287,V19,63,A73,A75
288,V12,31,A51,A56
289,V1,57,A21,A57
290,V7,29,A67,A69
291,V1,64,A48,A68
292,V9,78,A63,A71
293,V13,89,A48,A67
294,V19,76,A64,A71
295,V5,68,A43,A48
296,V20,66,A8,A37
297,V5,58,A30,A61
298,V16,93,A35,A48
299,V5,46,A50,A71
300,V9,22,A27,A47
301,V1,77,A31,A37
302,V10,29,A56,A57
303,V10,39,A40,A44
304,V1,89,A65,A74
305,V13,83,A11,A21
306,V15,74,A36,A52
307,V4,24,A66,A73
308,V3,78,A16,A22
309,V13,30,A7,A44
310,V11,88,A12,A65
311,V16,22,A47,A48
312,V12,68,A17,A54
313,V12,27,A45,A53
314,V18,54,A30,A58
315,V11,77,A63,A71
316,V20,70,A29,A68
317,V13,49,A26,A29
318,V18,58,A13,A25
