VehicleType,ChargingStation,TimeToChargePerUnit
V1,C1,540
V1,C2,480
V1,C3,420
V1,C4,480
V1,C5,360
V1,C6,360
V1,C7,480
V1,C8,300
V1,C9,360
V1,C10,300
V1,C11,540
V1,C12,420
V1,C13,300
V1,C14,300
V1,C15,420
V1,C16,480
V1,C17,360
V1,C18,300
V1,C19,420
V1,C20,420
V1,C21,360
V1,C22,300
V1,C23,540
V1,C24,420
V1,C25,360
V1,C26,360
V1,C27,540
V1,C28,360
V1,C29,420
V1,C30,540
V1,C31,540
V1,C32,360
V1,C33,360
V1,C34,420
V1,C35,420
V1,C36,540
V1,C37,360
V1,C38,540
V1,C39,480
V1,C40,540
V1,C41,540
V1,C42,480
V1,C43,420
V1,C44,540
V1,C45,360
V1,C46,480
V1,C47,540
V1,C48,480
V1,C49,300
V1,C50,300
V1,C51,300
V1,C52,300
V1,C53,540
V1,C54,540
V1,C55,480
V1,C56,480
V1,C57,360
V1,C58,420
V1,C59,360
V1,C60,420
V1,C61,480
V1,C62,480
V1,C63,300
V1,C64,360
V1,C65,360
V1,C66,480
V1,C67,480
V1,C68,420
V1,C69,540
V1,C70,420
V1,C71,420
V1,C72,360
V1,C73,300
V1,C74,360
V1,C75,540
V1,C76,480
V1,C77,480
V1,C78,360
V1,C79,360
V1,C80,420
V1,C81,480
V1,C82,540
V1,C83,480
V1,C84,540
V1,C85,360
V1,C86,540
V1,C87,480
V1,C88,300
V1,C89,480
V1,C90,300
V1,C91,360
V1,C92,300
V1,C93,480
V1,C94,300
V1,C95,360
V1,C96,480
V1,C97,300
V1,C98,360
V1,C99,480
V1,C100,540
V1,C101,540
V1,C102,360
V1,C103,540
V1,C104,480
V1,C105,480
V1,C106,420
V1,C107,360
V1,C108,360
V1,C109,360
V1,C110,420
V1,C111,300
V1,C112,420
V1,C113,300
V1,C114,360
V1,C115,540
V1,C116,480
V1,C117,360
V1,C118,300
V1,C119,480
V1,C120,300
V1,C121,300
V1,C122,360
V1,C123,300
V1,C124,480
V1,C125,540
V1,C126,360
V1,C127,360
V1,C128,360
V1,C129,360
V1,C130,420
V1,C131,420
V1,C132,360
V1,C133,300
V1,C134,420
V1,C135,300
V1,C136,300
V1,C137,420
V1,C138,540
V1,C139,360
V1,C140,540
V1,C141,420
V1,C142,360
V1,C143,420
V1,C144,420
V1,C145,420
V1,C146,300
V1,C147,300
V1,C148,540
V1,C149,300
V1,C150,480
V2,C1,360
V2,C2,300
V2,C3,300
V2,C4,360
V2,C5,480
V2,C6,480
V2,C7,300
V2,C8,300
V2,C9,420
V2,C10,360
V2,C11,360
V2,C12,480
V2,C13,360
V2,C14,540
V2,C15,540
V2,C16,360
V2,C17,420
V2,C18,420
V2,C19,360
V2,C20,300
V2,C21,300
V2,C22,540
V2,C23,300
V2,C24,420
V2,C25,360
V2,C26,420
V2,C27,420
V2,C28,300
V2,C29,480
V2,C30,300
V2,C31,540
V2,C32,300
V2,C33,540
V2,C34,300
V2,C35,360
V2,C36,420
V2,C37,360
V2,C38,420
V2,C39,300
V2,C40,480
V2,C41,420
V2,C42,420
V2,C43,360
V2,C44,420
V2,C45,540
V2,C46,480
V2,C47,360
V2,C48,360
V2,C49,540
V2,C50,420
V2,C51,420
V2,C52,420
V2,C53,420
V2,C54,420
V2,C55,300
V2,C56,360
V2,C57,300
V2,C58,360
V2,C59,360
V2,C60,360
V2,C61,300
V2,C62,420
V2,C63,480
V2,C64,360
V2,C65,420
V2,C66,360
V2,C67,420
V2,C68,540
V2,C69,300
V2,C70,480
V2,C71,300
V2,C72,300
V2,C73,420
V2,C74,420
V2,C75,540
V2,C76,480
V2,C77,300
V2,C78,360
V2,C79,480
V2,C80,420
V2,C81,420
V2,C82,360
V2,C83,360
V2,C84,300
V2,C85,360
V2,C86,360
V2,C87,300
V2,C88,360
V2,C89,540
V2,C90,300
V2,C91,420
V2,C92,360
V2,C93,360
V2,C94,540
V2,C95,480
V2,C96,300
V2,C97,540
V2,C98,540
V2,C99,480
V2,C100,480
V2,C101,480
V2,C102,360
V2,C103,420
V2,C104,540
V2,C105,360
V2,C106,420
V2,C107,420
V2,C108,360
V2,C109,540
V2,C110,300
V2,C111,420
V2,C112,360
V2,C113,480
V2,C114,300
V2,C115,540
V2,C116,540
V2,C117,540
V2,C118,480
V2,C119,300
V2,C120,480
V2,C121,480
V2,C122,300
V2,C123,540
V2,C124,420
V2,C125,360
V2,C126,540
V2,C127,480
V2,C128,540
V2,C129,420
V2,C130,360
V2,C131,300
V2,C132,540
V2,C133,540
V2,C134,360
V2,C135,300
V2,C136,420
V2,C137,300
V2,C138,360
V2,C139,360
V2,C140,420
V2,C141,360
V2,C142,360
V2,C143,540
V2,C144,480
V2,C145,480
V2,C146,480
V2,C147,300
V2,C148,480
V2,C149,540
V2,C150,300
V3,C1,420
V3,C2,360
V3,C3,480
V3,C4,420
V3,C5,360
V3,C6,540
V3,C7,360
V3,C8,300
V3,C9,360
V3,C10,300
V3,C11,420
V3,C12,420
V3,C13,300
V3,C14,360
V3,C15,540
V3,C16,420
V3,C17,420
V3,C18,360
V3,C19,300
V3,C20,300
V3,C21,300
V3,C22,360
V3,C23,480
V3,C24,540
V3,C25,360
V3,C26,480
V3,C27,420
V3,C28,540
V3,C29,300
V3,C30,360
V3,C31,300
V3,C32,360
V3,C33,540
V3,C34,420
V3,C35,480
V3,C36,360
V3,C37,420
V3,C38,420
V3,C39,480
V3,C40,300
V3,C41,420
V3,C42,360
V3,C43,360
V3,C44,420
V3,C45,300
V3,C46,300
V3,C47,540
V3,C48,420
V3,C49,300
V3,C50,360
V3,C51,420
V3,C52,420
V3,C53,540
V3,C54,300
V3,C55,480
V3,C56,540
V3,C57,480
V3,C58,540
V3,C59,360
V3,C60,540
V3,C61,540
V3,C62,420
V3,C63,420
V3,C64,360
V3,C65,300
V3,C66,480
V3,C67,420
V3,C68,480
V3,C69,480
V3,C70,300
V3,C71,300
V3,C72,480
V3,C73,360
V3,C74,480
V3,C75,360
V3,C76,360
V3,C77,540
V3,C78,540
V3,C79,300
V3,C80,300
V3,C81,360
V3,C82,300
V3,C83,540
V3,C84,300
V3,C85,300
V3,C86,360
V3,C87,300
V3,C88,360
V3,C89,420
V3,C90,540
V3,C91,420
V3,C92,480
V3,C93,420
V3,C94,420
V3,C95,360
V3,C96,540
V3,C97,480
V3,C98,420
V3,C99,480
V3,C100,360
V3,C101,420
V3,C102,480
V3,C103,480
V3,C104,300
V3,C105,480
V3,C106,540
V3,C107,360
V3,C108,540
V3,C109,420
V3,C110,540
V3,C111,420
V3,C112,480
V3,C113,360
V3,C114,540
V3,C115,300
V3,C116,420
V3,C117,540
V3,C118,360
V3,C119,300
V3,C120,360
V3,C121,480
V3,C122,540
V3,C123,300
V3,C124,360
V3,C125,300
V3,C126,480
V3,C127,420
V3,C128,300
V3,C129,300
V3,C130,360
V3,C131,360
V3,C132,480
V3,C133,360
V3,C134,300
V3,C135,420
V3,C136,300
V3,C137,300
V3,C138,300
V3,C139,360
V3,C140,360
V3,C141,360
V3,C142,420
V3,C143,480
V3,C144,420
V3,C145,300
V3,C146,360
